An	Durata	Vizionari	 nr_viz  Titlu	Categorie	Premii					
1924	110	2500	"Siegfried, The Nibelungenlied"	Drama	Nu					
1952	110	1500	Europa Fifty-One	Drama	Nu					
1948	110	5000	Border Street	Drama	Nu					
1931	110	3000	"Big Trail, The"	Western	Nu					
1990	110	4000	"White Hunter, Black Heart"	Adventure	Nu					
1962	110	4500	Sundays & Cybele	Drama	Da					
1946	110	5500	A Stolen Life	Drama	Nu					
1979	110	2500	"Great Train Robbery, The"	Mystery	Nu					
1991	110	4000	Hanover Street	Drama	Nu					
1979	110	6000	Norma Rae	Drama	Da					
1936	110	4500	Camille	Drama	Nu					
1986	110	6000	Highlander	Science Fiction	Nu					
1980	110	1000	Private Benjamin	Comedy	Nu					
1946	110	4500	Gilda	Drama	Nu					
1980	110	2500	Loulou	Drama	Nu					
1990	110	5000	Mystery Train	Comedy	Nu					
1949	110	4500	Sands of Iwo Jima	War	Nu					
1977	110	3500	"Goodbye Girl, The"	Comedy	Da					
1990	110	2500	Modern Love	Comedy	Nu					
1988	110	1500	"Accused, The"	Drama	Da					
1989	110	4000	We're No Angels	Comedy	Nu					
1991	110	3000	Star Trek VI: The Undiscovered Country	Science Fiction	Nu					
1971	110	6000	Big Jake	Action	Nu					
1969	110	5000	Butch Cassidy & the Sundance Kid	Western	Da					
1989	110	1500	Cousins	Comedy	Nu					
1991	110	3000	Freejack	Action	Nu					
1984	110	3000	"Buddy System, The"	Drama	Nu					
1954	110	2000	Desiree	Drama	Nu					
1987	110	6000	"Secret of My Success, The"	Comedy	Nu					
1972	110	5000	"X, Y & Zee"	Drama	Nu					
1977	110	4000	A Little Night Music	Music	Nu					
1990	110	1000	Border Shootout	Action	Nu					
1969	110	3500	One Hundred Rifles	Western	Nu					
1970	110	6000	Trash	Comedy	Nu					
1950	110	2000	Stage Fright	Mystery	Nu					
1946	110	5000	No Regrets for Our Youth	Drama	Nu					
1957	110	1500	Throne of Blood	Drama	Nu					
1961	110	4000	Yojimbo	Action	Nu					
1939	110	3000	"John Wayne Matinee Double Feature, No. 3"	Western	Nu					
1938	110	4000	"John Wayne Matinee Double Feature, No. 4"	Western	Nu					
1990	111	2500	Tie Me Up! Tie Me Down!	Comedy	Nu					
1985	111	6000	Power	Drama	Nu					
1967	111	3000	Hombre	Western	Nu					
1990	111	5000	Reversal of Fortune	Drama	Da					
1975	111	6000	Brannigan	Drama	Nu					
1992	111	3500	Pope of Greenwich Village	Drama	Nu					
1978	111	4500	Brass Target	Action	Nu					
1988	111	1500	"House on Carroll Street, The"	Mystery	Nu					
1974	111	5000	Mc Q	Action	Nu					
1951	111	1500	Operation Pacific	War	Nu					
1971	111	5500	"Devils, The"	Drama	Nu					
1991	111	4500	Flatliners	Drama	Nu					
1986	111	3500	Gung Ho	Comedy	Nu					
1981	111	1500	Outland	Science Fiction	Nu					
1991	111	5000	"Seventh Cross, The"	Drama	Nu					
1980	111	3000	Stir Crazy	Comedy	Nu					
1955	111	1000	Rebel Without a Cause	Drama	Nu					
1982	111	2000	Yol	Drama	Nu					
1970	111	4500	Chisum	Western	Nu					
1982	111	1500	"Return of Martin Guerre, The"	Drama	Nu					
1986	112	4500	A Man & a Woman: Twenty Years Later	Drama	Nu					
1985	112	1000	"Official Story, The"	Drama	Da					
1964	112	4000	Goldfinger	Action	Nu					
1975	112	2500	Alice Doesn't Live Here Anymore	Comedy	Da					
1984	112	1500	Places in the Heart	Drama	Da					
1932	112	1000	Grand Hotel	Drama	Da					
1978	112	5000	Foul Play	Comedy	Nu					
1987	112	2000	Overboard	Comedy	Nu					
1991	112	4500	Without Love	Comedy	Nu					
1987	112	3000	Tin Men	Comedy	Nu					
1987	112	5500	Gardens of Stone	Drama	Nu					
1957	112	4000	Jet Pilot	Action	Nu					
1979	112	3500	Blood Feud	Action	Nu					
1985	112	4000	Witness	Drama	Nu					
1950	112	5000	"Asphalt Jungle, The"	Action	Nu					
1963	112	3500	Hud	Drama	Da					
1992	112	2500	Macbeth	Drama	Nu					
1986	112	1500	From the Hip	Comedy	Nu					
1991	112	2500	Defending Your Life	Comedy	Nu					
1973	112	6000	American Graffiti	Comedy	Da					
1983	112	1000	Local Hero	Comedy	Nu					
1952	112	3500	Viva Zapata!	Drama	Da					
1975	112	3500	"Yakuza, The"	Action	Nu					
1970	112	6000	Burn!	Drama	Nu					
1976	112	4500	Maitresse	Drama	Nu					
1979	112	3500	Escape from Alcatraz	Drama	Nu					
1992	112	6000	Conversation Piece	Drama	Nu					
1939	112	5000	"John Wayne Matinee Double Feature, No. 2"	Western	Nu					
1992	112	4500	McQ	Action	Nu					
1991	113	3000	High Heels	Comedy	Nu					
1968	113	3000	Shalako	Westerns	Nu					
1989	113	5500	Twin Peaks	Mystery	Nu					
1989	113	4500	Family Business	Action	Nu					
1977	113	1500	Heroes	Drama	Nu					
1979	113	2500	"Electric Horseman, The"	Comedy	Nu					
1991	113	5000	"Philadelphia Story, The"	Comedy	Nu					
1991	113	5500	Woman of the Year	Comedy	Nu					
1954	113	2000	Rear Window	Mystery	Nu					
1989	113	1000	Lethal Weapon 2	Action	Nu					
1991	113	5000	Audrey Rose	Drama	Nu					
1986	113	5500	About Last Night	Drama	Nu					
1990	113	2000	Total Recall	Action	Nu					
1963	113	5500	Heavens Above	Comedy	Nu					
1961	113	5500	Ferry to Hong Kong	Drama	Nu					
1944	114	3500	Gaslight	Drama	Da					
1978	114	3500	Coma	Science Fiction	Nu					
1989	114	1500	School Daze	Comedy	Nu					
1983	114	4500	Le Choix des Armes	Mystery	Nu					
1971	114	2500	Klute	Drama	Da					
1986	114	3000	Hoosiers	Drama	Nu					
1989	114	4500	Once Around	Comedy	Nu					
1978	114	1000	Go Tell the Spartans	War	Nu					
1987	114	5500	Into the Homeland	Action	Nu					
1958	114	3000	Desire under the Elms	Drama	Nu					
1969	114	1500	Hamlet	Drama	Nu					
1989	114	2000	"Fabulous Baker Boys, The"	Drama	Nu					
1967	114	4000	Hang 'em High	Western	Nu					
1991	114	2000	After Dark My Sweet	Mystery	Nu					
1974	114	1000	"Conversation, The"	Drama	Da					
1991	114	1500	Thunderbolt & Lightfoot	Action	Nu					
1985	114	5500	To Live & Die in L. A.	Action	Nu					
1991	115	3000	Bataan	War	Nu					
1991	115	3000	Flight of the Intruder	Drama	Nu					
1955	115	5000	Blood Alley	War	Nu					
1982	115	5500	E. T. The Extra-Terrestrial	Science Fiction	Da					
1949	115	1500	"Heiress, The"	Drama	Da					
1979	115	4000	Hurricane	Action	Nu					
1988	115	4500	Working Girl	Comedy	Nu					
1991	115	3000	Deceived	Mystery	Nu					
1991	115	5500	Little Women	Drama	Nu					
1990	115	6000	Men Don't Leave	Drama	Nu					
1982	115	5500	Grease II	Music	Nu					
1985	115	3000	Into the Night	Comedy	Nu					
1981	115	6000	Endless Love	Drama	Nu					
1987	115	3500	Stakeout	Comedy	Nu					
1992	115	4000	Alien Three	Science Fiction	Nu					
1971	115	2500	Sometimes a Great Notion	Drama	Nu					
1981	116	2500	Raiders of the Lost Ark	Action	Nu					
1991	116	1000	"Marrying Man, The"	Comedy	Nu					
1973	116	4500	Day for Night	Drama	Da					
1976	116	2500	Burnt Offerings	Horror	Nu					
1976	116	4500	Network	Comedy	Da					
1981	116	2500	Absence of Malice	Drama	Nu					
1982	116	3000	Tootsie	Comedy	Da					
1991	116	3500	Boom Town	Drama	Nu					
1953	116	6000	Mogambo	Action	Nu					
1988	116	1500	Running on Empty	Drama	Nu					
1989	116	5500	In Country	Drama	Nu					
1980	116	1500	Bronco Billy	Westerns	Nu					
1992	116	2500	Operation Crossbow	Action	Nu					
1955	116	5000	Mister Roberts	Comedy	Da					
1988	116	5000	Tequila Sunrise	Mystery	Nu					
1988	116	5000	Coming to America	Comedy	Nu					
1985	116	4000	Pale Rider	Western	Nu					
1985	116	1500	Back to the Future	Comedy	Nu					
1986	116	3500	Legal Eagles	Comedy	Nu					
1987	116	2500	Orphans	Drama	Nu					
1972	116	6000	Jeremiah Johnson	Drama	Nu					
1989	116	2500	Back to the Future II	Comedy	Nu					
1982	117	3000	Tragedy of a Ridiculous Man	Drama	Nu					
1992	117	5500	Patriot Games	Action	Nu					
1986	117	3000	Nine & a Half Weeks	Drama	Nu					
1949	117	3000	Under Capricorn	Drama	Nu					
1977	117	1000	"Exorcist II, The Heretic"	Horror	Nu					
1988	117	2000	Dead Ringers	Drama	Nu					
1975	117	4500	Three Days of the Condor	Drama	Nu					
1974	117	1500	Stavisky	Drama	Nu					
1981	117	2000	Time Bandits	Comedy	Nu					
1978	117	2500	Bloodbrothers	Drama	Nu					
1982	117	3500	Blade Runner	Action	Nu					
1991	117	2500	"Courtship of Eddie's Father, The"	Comedy	Nu					
1980	117	3500	"Formula, The"	Mystery	Nu					
1990	117	5000	Internal Affairs	Drama	Nu					
1974	117	6000	Going Places	Drama	Nu					
1991	117	1000	La Femme Nikita	Drama	Nu					
1985	117	3000	Cocoon	Science Fiction	Da					
1941	117	3000	So Ends Our Night	Drama	Nu					
1991	117	1000	"Last Time I Saw Paris, The"	Drama	Nu					
1955	117	4500	"Sea Chase, The"	War	Nu					
1979	117	1000	Alien	Science Fiction	Nu					
1989	117	1000	Harry & Son	Drama	Nu					
1981	117	4500	Victory	Drama	Nu					
1991	117	3500	Full Metal Jacket	War	Nu					
1970	117	2500	Catch Twenty-Two	Comedy	Nu					
1983	118	3500	"Man Who Loved Women, The"	Comedy	Nu					
1988	118	4000	"Big Blue, The"	Drama	Nu					
1989	118	6000	"Vincent, Francois, Paul & the Others"	Drama	Nu					
1987	118	5500	Shy People	Drama	Nu					
1987	118	5000	Castaway	Drama	Nu					
1947	118	3500	Life with Father	Comedy	Nu					
1989	118	4000	Steel Magnolias	Drama	Nu					
1991	118	3000	"Silence of the Lambs, The"	Mystery	Da					
1985	118	5000	"A Chorus Line, The Movie"	Music	Nu					
1963	118	5500	"Yesterday, Today & Tomorrow"	Comedy	Da					
1991	118	3500	Test Pilot	Drama	Nu					
1991	118	3500	"Madonna, Truth or Dare"	Music	Nu					
1987	118	3500	Hope & Glory	War	Nu					
1975	118	3000	"Passenger, The"	Drama	Nu					
1971	118	1500	"Last Picture Show, The"	Drama	Da					
1981	118	1500	Taps	Drama	Nu					
1989	118	3500	Harlem Nights	Comedy	Nu					
1992	118	1500	Tightrope	Mystery	Nu					
1985	119	3500	Kiss of the Spider Woman	Drama	Da					
1987	119	2000	"Fourth Protocol, The"	Mystery	Nu					
1987	119	5000	"Witches of Eastwick, The"	Comedy	Nu					
1988	119	1000	Dangerous Liaisons	Drama	Nu					
1991	119	5500	Meeting Venus	Comedy	Nu					
1989	119	4000	See You in the Morning	Drama	Nu					
1981	119	1500	"Whose Life Is It, Anyway?"	Drama	Nu					
1986	119	2500	"Color of Money, The"	Drama	Da					
1986	119	5500	Children of a Lesser God	Drama	Da					
1962	119	1000	Rome Adventure	Drama	Nu					
1991	119	5500	New York Stories	Comedy	Nu					
1990	119	1500	Pretty Woman	Comedy	Nu					
1973	119	3000	"Last of Sheila, The"	Mystery	Nu					
1956	119	3500	"Searchers, The"	Western	Nu					
1979	119	1500	"Frisco Kid, The"	Comedy	Nu					
1987	119	4500	"Untouchables, The"	Drama	Da					
1949	119	5000	"Battleground, The"	War	Nu					
1986	119	1000	"Mosquito Coast, The"	Drama	Nu					
1987	120	5000	Fatal Attraction	Mystery	Nu					
1982	120	4500	Creepshow	Horror	Nu					
1975	120	1500	"Wind & the Lion, The"	Action	Nu					
1961	120	1000	Goodbye Again	Drama	Nu					
1988	120	6000	Frantic	Mystery	Nu					
1963	120	3000	"Ugly American, The"	Drama	Nu					
1986	120	4500	Betty Blue	Drama	Nu					
1956	120	3000	"Man Who Knew Too Much, The"	Mystery	Nu					
1940	120	5500	Foreign Correspondent	Mystery	Nu					
1986	120	1000	"Boy Who Could Fly, The"	Drama	Nu					
1989	120	5000	Do the Right Thing	Drama	Nu					
1986	120	4500	Jean de Florette	Drama	Da					
1957	120	6000	Gunfight at the OK Corral	Western	Nu					
1953	120	4500	Julius Caesar	Drama	Nu					
1979	120	5000	Nineteen Forty-One	Comedy	Nu					
1989	120	1000	Triumph of the Spirit	Drama	Nu					
1986	120	3000	Comic Relief	Comedy	Nu					
1986	120	5000	Manhunter	Drama	Nu					
1966	120	2000	A Man for All Seasons	Drama	Da					
1982	120	3500	"State of Things, The"	Drama	Nu					
1991	120	4500	Awakenings	Drama	Nu					
1990	120	1500	Hot Spot	Drama	Nu					
1988	120	1500	Mississippi Burning	Drama	Da					
1964	120	2500	Tom Jones	Drama	Da					
1986	120	3000	Blue Velvet	Mystery	Nu					
1987	120	2000	Innerspace	Science Fiction	Nu					
1988	120	4000	"Lonely Passion of Judith Hearne, The"	Drama	Nu					
1977	120	1500	"Prince & the Pauper, The"	Action	Nu					
1933	120	2000	"Testament of Dr. Mabuse, The"	Drama	Nu					
1987	120	2000	"Good Morning, Vietnam"	Comedy	Nu					
1986	120	5000	Platoon	Drama	Da					
1953	120	4000	Tales of Tomorrow	Horror	Nu					
1979	121	6000	Ten	Comedy	Nu					
1990	121	5000	"Rookie, THe"	Action	Nu					
1977	121	3500	Star Wars	Science Fiction	Nu					
1956	121	3500	"Rainmaker, The"	Drama	Nu					
1989	121	2500	"Enemies, a Love Story"	Drama	Nu					
1992	121	4000	"Postman Always Rings Twice, The"	Mystery	Nu					
1985	121	4500	Ladyhawke	Adventure	Nu					
1992	121	5500	Drowning by Numbers	Mystery	Nu					
1968	121	3000	Hellfighters	Action	Nu					
1988	121	5500	"Accidental Tourist, The"	Comedy	Da					
1992	121	5000	Christopher Columbus: The Discovery	Adventure	Nu					
1971	121	1500	"Red Tent, The"	Action	Nu					
1974	121	1500	"Apprenticeship of Duddy Kravitz, The"	Drama	Da					
1992	121	5500	Harper	Mystery	Nu					
1991	121	3000	"Pink Panther, The"	Comedy	Nu					
1979	122	6000	Cuba	Action	Nu					
1973	122	3000	"Exorcist, The"	Horror	Da					
1965	122	5000	Darling	Drama	Da					
1979	122	4500	Hair	Music	Nu					
1979	122	4000	"China Syndrome, The"	Drama	Nu					
1986	122	4500	Salvador	Drama	Nu					
1951	122	4500	A Streetcar Named Desire	Drama	Da					
1989	122	2000	Pink Cadillac	Comedy	Nu					
1989	122	4500	Quo Vadis	Drama	Nu					
1982	122	5500	Missing	Drama	Nu					
1988	122	3000	A Cry in the Dark	Drama	Nu					
1960	122	6000	North to Alaska	Western	Nu					
1973	122	4000	Magnum Force	Action	Nu					
1990	123	3000	Misery	Horror	Da					
1942	123	3000	Reap the Wild Wind	Drama	Nu					
1982	123	4000	Honkytonk Man	Drama	Nu					
1965	123	5000	Morituri	Drama	Nu					
1977	123	3000	Slap Shot	Comedy	Nu					
1970	123	6000	"Molly Maguires, The"	Action	Nu					
1960	123	3500	"Unforgiven, The"	Drama	Nu					
1962	123	6000	"Man Who Shot Liberty Valance, The"	Western	Nu					
1962	123	1500	Experiment in Terror	Mystery	Nu					
1983	123	1000	Bad Boys	Drama	Nu					
1992	123	4500	Basic Instinct	Mystery	Nu					
1954	123	6000	Dial M for Murder	Mystery	Nu					
1966	123	3000	Closely Watched Trains	Drama	Da					
1980	123	2500	Mon Oncle D'Amerique	Comedy	Nu					
1969	123	1000	Midnight Cowboy	Drama	Da					
1924	123	4500	Gosta Berling's Saga	Drama	Nu					
1980	124	3500	"Elephant Man, The"	Drama	Da					
1972	124	1500	"Life & Times of Judge Roy Bean, The"	Western	Nu					
1974	124	4500	"Dersu Uzala, (The Hunter)"	Adventure	Da					
1980	124	6000	"Empire Strikes Back, The"	Science Fiction	Nu					
1975	124	4000	Jaws	Action	Nu					
1977	124	5500	Bobby Deerfield	Drama	Nu					
1974	124	3500	Amarcord	Drama	Da					
1956	124	4500	Teahouse of the August Moon	Drama	Nu					
1991	124	2000	"Russia House, The"	Drama	Nu					
1985	124	5000	Plenty	Drama	Nu					
1981	124	3000	Chariots of Fire	Drama	Da					
1966	125	5000	Torn Curtain	Mystery	Nu					
1992	125	2500	Final Analysis	Drama	Nu					
1989	125	1000	Black Rain	Action	Nu					
1990	125	4000	Wild at Heart	Drama	Nu					
1925	125	3500	Joyless Street	Drama	Nu					
1969	125	2000	Those Daring Young Men in Their Jaunty	Comedy	Nu					
1986	125	5500	"Mission, The"	Drama	Nu					
1931	125	3000	Cimarron	Western	Da					
1982	125	3500	An Officer & a Gentleman	Drama	Da					
1991	125	1500	"Last Hurrah, The"	Drama	Nu					
1926	126	1500	Don Juan	Action	Nu					
1989	126	3500	Batman	Action	Nu					
1970	126	4500	Getting Straight	Comedy	Nu					
1945	126	1000	"Bells of St. Mary's, The"	Drama	Nu					
1990	126	2000	"Bonfire of the Vanities, The"	Drama	Nu					
1987	126	2500	Wall Street	Drama	Da					
1978	126	3000	International Velvet	Drama	Nu					
1966	126	2000	"Fortune Cookie, The"	Comedy	Da					
1969	126	2000	Topaz	Mystery	Nu					
1990	126	2000	Indiana Jones & the Last Crusade	Action	Nu					
1988	127	5500	Colors	Drama	Nu					
1990	127	3500	Presumed Innocent	Mystery	Nu					
1989	127	2000	Fat Man & Little Boy	Drama	Nu					
1974	127	1000	"Man with the Golden Gun, The"	Action	Nu					
1940	127	5500	Northwest Passage	Action	Nu					
1977	127	2500	"American Friend, The"	Mystery	Nu					
1988	127	5500	Everybody's All American	Romance	Nu					
1973	127	3500	"Man Who Loved Cat Dancing, The"	Western	Nu					
1990	127	1000	Ghost	Science Fiction	Da					
1969	127	1500	Z	Drama	Da					
1966	127	1000	"Russians Are Coming, the Russians Are, The"	Comedy	Da					
1973	127	3500	Last Tango in Paris	Drama	Nu					
1981	127	3000	"French Lieutenant's Woman, The"	Drama	Nu					
1948	127	3000	Fort Apache	Western	Nu					
1967	127	4000	Cool Hand Luke	Drama	Da					
1981	127	2000	"Taming of the Shrew, The"	Drama	Nu					
1974	128	2000	Murder on the Orient Express	Mystery	Da					
1982	128	3000	Conan the Barbarian	Action	Nu					
1979	128	5500	Moonraker	Action	Nu					
1969	128	3000	True Grit	Western	Da					
1992	128	6000	Cape Fear	Mystery	Nu					
1985	128	4000	Christopher Columbus	Drama	Nu					
1972	128	3000	Cabaret	Drama	Da					
1958	128	1000	Vertigo	Drama	Nu					
1976	128	4000	Shout at the Devil	Action	Nu					
1992	128	5500	Night on Earth	Drama	Nu					
1982	128	4500	"Ballad of Narayama, The"	Drama	Nu					
1965	128	5500	"Shop on Main Street, The"	Drama	Da					
1986	128	1500	"Name of the Rose, The"	Drama	Nu					
1972	128	3500	"Cowboys, The"	Western	Nu					
1990	128	1500	Dead Poets Society	Drama	Da					
1991	128	4500	Inherit the Wind	Drama	Nu					
1981	129	6000	For Your Eyes Only	Action	Nu					
1973	129	2500	"Sting, The"	Drama	Da					
1972	129	1000	Roma	Drama	Nu					
1980	129	5500	"Competition, The"	Drama	Nu					
1970	129	1500	Women in Love.	Drama	Nu					
1956	129	3000	"Bad Seed, The"	Horror	Nu					
1979	129	4500	Being There	Comedy	Da					
1929	129	3500	"Manxman, The"	Drama	Nu					
1970	129	4000	On a Clear Day You Can See Forever	Music	Nu					
1975	129	5000	"Man Who Would Be King, The"	Drama	Nu					
1990	129	5500	Mo' Better Blues	Drama	Nu					
1967	130	5500	Casino Royale	Comedy	Nu					
1987	130	2000	Wings of Desire	Drama	Nu					
1940	130	5000	Rebecca	Drama	Da					
1964	130	4500	Marnie	Drama	Nu					
1970	130	3500	Fellini Satyricon	Drama	Nu					
1991	130	5000	Man of La Mancha	Music	Nu					
1986	130	2500	El Guerrero Solitario	Drama	Nu					
1986	130	4000	Heartbreak Ridge	War	Nu					
1987	130	4000	Matewan	Drama	Nu					
1975	130	1500	"Eiger Sanction, The"	Action	Nu					
1992	130	1500	Who's Afraid of Virginia Woolf?	Drama	Da					
1985	130	3500	Prizzi's Honor	Comedy	Da					
1984	130	2500	"Bounty, The"	Drama	Nu					
1928	130	5000	Spies	Drama	Nu					
1991	130	2000	For a Few Dollars More	Westerns	Nu					
1974	131	3500	Chinatown	Drama	Da					
1990	131	3500	A View to a Kill	Action	Nu					
1983	131	1500	Silkwood	Drama	Nu					
1985	131	1500	"Falcon & the Snowman, The"	Drama	Nu					
1983	132	4500	Return of the Jedi	Science Fiction	Nu					
1964	132	5500	Circus World	Drama	Nu					
1991	132	1000	"Sea of Grass, The"	Western	Nu					
1981	132	1500	Mephisto	Drama	Da					
1978	132	4500	"Wild Geese, The"	Action	Nu					
1986	132	5500	Alrededor de Medianoche	Drama	Nu					
1983	132	4000	Terms of Endearment	Drama	Da					
1976	132	3500	Midway	War	Nu					
1965	133	3500	"Hush, Hush, Sweet Charlotte"	Mystery	Nu					
1992	133	2000	Shining Through	Mystery	Nu					
1968	133	5000	"Green Berets, The"	War	Nu					
1992	133	1500	"Train, The"	Action	Nu					
1962	134	2000	A Very Private Affair	Drama	Nu					
1983	134	5000	Never Say Never Again	Action	Nu					
1977	134	1500	Voyage of the Damned	Drama	Nu					
1961	134	3000	"Hustler, The"	Drama	Da					
1988	134	4500	Rain Man	Drama	Da					
1968	134	3500	"Lion in Winter, THe"	Drama	Da					
1983	134	3500	Yentl	Music	Nu					
1987	134	6000	"Glass Menagerie, The"	Drama	Nu					
1952	134	3500	Ikiru	Drama	Nu					
1992	134	2000	Red River	Western	Nu					
1990	135	4000	Cyrano de Bergerac	Drama	Nu					
1992	135	6000	City of Joy	Drama	Nu					
1981	135	3000	Choice of Arms	Action	Nu					
1980	135	3000	"Last Metro, The"	Drama	Nu					
1985	135	2000	Death of a Salesman	Drama	Nu					
1969	135	1000	On Her Majesty's Secret Service	Action	Nu					
1991	135	4500	"Doors, The"	Drama	Nu					
1991	135	1000	North by Northwest	Mystery	Nu					
1987	135	3000	Ironweed	Drama	Nu					
1960	135	4000	"Fugitive Kind, The"	Drama	Nu					
1945	135	2500	They Were Expendable	War	Nu					
1990	135	3000	"Hunt for Red October, The"	Drama	Nu					
1977	136	3000	"Spy Who Loved Me, The"	Action	Nu					
1991	136	3000	Terminator 2	Action	Nu					
1982	136	5500	"World According to Garp, The"	Drama	Nu					
1977	136	5000	Looking for Mr. Goodbar	Drama	Nu					
1982	136	4000	Firefox	Action	Nu					
1982	136	4000	Danton	Drama	Nu					
1992	136	4000	"Prize, The"	Drama	Nu					
1970	137	1500	Airport	Drama	Da					
1971	137	5000	"Boy Friend, THe"	Music	Nu					
1977	137	3000	"New York, New York"	Drama	Nu					
1992	137	5000	"Long Gray Line, The"	Drama	Nu					
1986	137	3500	Aliens	Science Fiction	Nu					
1920	137	4500	Spiders	Drama	Nu					
1950	138	5500	All about Eve	Drama	Da					
1992	138	1500	"Fisher King, The"	Drama	Da					
1988	138	3500	Pelle the Conqueror	Drama	Da					
1971	138	4000	A Clockwork Orange	Science Fiction	Da					
1928	139	1500	Wings	War	Da					
1987	139	2500	Maurice	Drama	Nu					
1968	139	5000	2001: A Space Odyssey	Science Fiction	Nu					
1992	139	5500	"Sheltering Sky, The"	Drama	Nu					
1926	139	3500	Metropolis	Science Fiction	Nu					
1944	139	3000	Thirty Seconds over Tokyo	War	Nu					
1976	139	4000	All the President's Men	Drama	Da					
1984	140	2000	Tartuffe	Comedy	Nu					
1961	140	3000	La Dolce Vita	Drama	Nu					
1970	140	4000	Dodesukaden	Drama	Nu					
1986	140	4000	"Assault, The"	Drama	Da					
1988	141	5000	Thunderball	Action	Nu					
1986	141	1500	Courage	Drama	Nu					
1961	141	6000	One Eyed Jacks	Western	Nu					
1984	141	3500	"Killing Fields, The"	Drama	Da					
1991	142	1000	Hook	Action	Nu					
1977	143	1000	Black Sunday	Drama	Nu					
1974	144	4000	"Day of the Locust, The"	Drama	Nu					
1980	144	4000	"Shining, The"	Horror	Nu					
1991	144	4000	Robin Hood: Prince of Thieves	Action	Nu					
1991	144	4000	State of Grace	Drama	Nu					
1969	144	1000	"Wild Bunch, The"	Western	Nu					
1991	145	1500	Dragon Seed	Drama	Nu					
1989	145	2500	Born on the Fourth of July	Drama	Da					
1978	145	1500	"Superman, The Movie"	Action	Nu					
1991	145	2000	"Sophia Loren, Her Own Story"	Drama	Nu					
1977	146	5000	Twilight's Last Gleaming	Drama	Nu					
1970	146	1000	Kelly's Heroes	War	Nu					
1957	147	2500	Sayonara	Drama	Da					
1928	148	2500	Tempest	Drama	Nu					
1990	149	5500	Camille Claudel	Drama	Nu					
1976	150	6000	"Lindbergh Kidnapping Case, The"	Drama	Nu					
1984	150	6000	"Paris, Texas"	Drama	Nu					
1962	150	5500	Lolita	Drama	Nu					
1955	150	3000	Guys & Dolls	Comedy	Da					
1989	150	3500	Sara Dane	Drama	Nu					
1982	150	1500	A Question of Honor	Drama	Nu					
1982	151	1000	Sophie's Choice	Drama	Da					
1968	151	6000	Funny Girl	Music	Da					
1960	152	3500	"Bad Sleep Well, The"	Drama	Nu					
1957	153	4000	Desk Set	Comedy	Nu					
1992	153	4500	"Quiet Man, The"	Drama	Nu					
1987	153	3500	Empire of the Sun	Drama	Nu					
1961	153	2500	West Side Story	Music	Da					
1979	153	3000	Apocalypse Now	Drama	Nu					
1961	154	3500	"Four Horsemen of the Apocalypse, The"	Drama	Nu					
1987	155	2000	Indigo Autumn & Lilac Dream	Drama	Nu					
1984	158	6000	Amadeus	Drama	Da					
1991	158	2500	Until the End of the World	Drama	Nu					
1968	159	1000	Where Eagles Dare	War	Nu					
1991	160	1000	"Great Race, The"	Comedy	Nu					
1985	161	5000	Out of Africa	Drama	Da					
1988	161	6000	Bird	Drama	Nu					
1980	161	4500	Kagemusha	Drama	Da					
1969	161	3000	Paint Your Wagon	Music	Nu					
1988	163	4000	"Last Temptation of Christ, The"	Drama	Nu					
1992	163	2000	"Good, the Bad & the Ugly, The"	Westerns	Nu					
1987	164	5500	"Last Emperor, The"	Drama	Da					
1960	164	4000	"Alamo, The"	Action	Nu					
1992	165	1000	How the West Was Won	Western	Nu					
1965	165	4000	In Harm's Way	War	Nu					
1951	166	3000	"Idiot, The"	Drama	Nu					
1992	166	3500	"Hallelujah Trail, The"	Drama	Nu					
1958	167	5500	"Young Lions, The"	Drama	Nu					
1964	170	2500	My Fair Lady	Music	Da					
1970	170	6000	Patton	War	Da					
1965	172	5500	"Sound of Music, The"	Music	Da					
1988	172	4000	"Unbearable Lightness of Being, The"	Drama	Da					
1961	172	1000	El Cid	Drama	Nu					
1957	173	5500	Raintree County	Drama	Nu					
1966	175	1500	Is Paris Burning?	War	Nu					
1972	175	4500	"Godfather, The"	Drama	Da					
1976	176	5500	Kings of the Road (In the Course of Time)	Drama	Nu					
1979	180	5500	"Last Ride of the Dalton Gang, The"	Western	Nu					
1990	181	5000	Dances with Wolves	Western	Da					
1962	182	6000	Mutiny on the Bounty	Action	Nu					
1978	183	6000	"Deer Hunter, The"	Drama	Da					
1962	183	4500	"Longest Day, The"	War	Nu					
1960	185	4500	Spartacus	Drama	Da					
1991	186	6000	At Play in the Fields of the Lord	Drama	Nu					
1982	188	5000	Fanny and Alexander	Drama	Da					
1982	188	5500	Gandhi	Drama	Da					
1964	188	1000	"Fall of the Roman Empire, The"	Drama	Nu					
1966	190	6000	Hawaii	Drama	Nu					
1961	190	3000	Judgment at Nuremberg	Drama	Da					
1991	193	5000	Separate but Equal	Drama	Nu					
1970	194	5000	Ryan's Daughter	Drama	Da					
1982	195	2000	A Woman Called Golda	Drama	Da					
1981	195	3000	Reds	Drama	Da					
1979	198	4500	"Sacketts, The"	Western	Nu					
1965	199	4000	"Greatest Story Ever Told, The"	Drama	Nu					
1955	200	2000	Seven Samurai	Drama	Nu					
1974	201	5500	"Godfather, Pt 2., The"	Drama	Da					
1956	201	6000	Giant	Drama	Da					
1991	206	1000	JFK	Drama	Nu					
1982	208	4000	Othello	Drama	Nu					
