An	Durata	Vizionari	 nr_viz  Titlu	Categorie	Premii					
1942	85	2000	Wheel of Fortune	Drama	Nu					
1992	85	2500	Double Edge	Drama	Nu					
1984	85	1500	Broadway Danny Rose	Comedy	Nu					
1992	85	1500	Naked Obsession	Mystery	Nu					
1934	85	3500	"Painted Veil, The"	Drama	Nu					
1987	85	1000	Hot Child in the City	Mystery	Nu					
1979	85	2000	Cocaine Cowboys	Action	Nu					
1939	85	1000	Back Door to Heaven	Drama	Nu					
1988	85	6000	Casablanca Express	Action	Nu					
1941	85	3500	Lady from Louisiana	Drama	Nu					
1991	85	3000	Circuitry Man	Action	Nu					
1967	85	3000	"Trip, The"	Drama	Nu					
1988	85	3500	Doin' Time on Planet Earth	Comedy	Da					
1990	85	1000	Crash & Burn	Science Fiction	Nu					
1950	85	5000	"Men, The"	Drama	Nu					
1986	85	2500	Torment	Horror	Nu					
1992	85	3000	Survival Zone	Action	Nu					
1987	85	5500	Operation Nam	War	Nu					
1967	85	2000	"Thirty Is a Dangerous Age, Cynthia"	Comedy	Nu					
1975	85	1000	"Only Way Home, The"	Drama	Nu					
1955	86	5000	Dreams	Drama	Nu					
1969	86	5500	"Women, The"	Drama	Nu					
1992	86	5000	Hurricane Smith	Action	Nu					
1987	86	3500	Fair Game	Action	Nu					
1950	86	2500	Wagon Master	Western	Nu					
1991	86	2000	Blind Man's Bluff	Mystery	Nu					
1989	86	6000	Let It Ride	Comedy	Nu					
1987	86	1000	Straight to Hell	Action	Nu					
1972	86	4000	"Play It Again, Sam"	Comedy	Nu					
1989	86	1000	Dracula's Widow	Horror	Nu					
1981	86	1000	Polyester	Comedy	Nu					
1980	86	6000	Pepi Luci Bom	Comedy	Nu					
1987	86	4500	House of the Rising Sun	Drama	Nu					
1963	86	3500	"Raven, The"	Horror	Nu					
1990	86	1500	Wagonmaster	Western	Nu					
1989	86	4500	Cyborg	Action	Nu					
1983	86	4000	Scream	Horror	Nu					
1987	86	5000	Disorderlies	Comedy	Nu					
1973	87	2500	Ms. Don Juan	Drama	Nu					
1939	87	1500	Only One Night	Drama	Nu					
1986	87	1000	Monster in the Closet	Comedy	Nu					
1973	87	4500	Stacey!	Action	Nu					
1989	87	2500	Videodrome	Horror	Nu					
1948	87	5500	Lady from Shanghai	Mystery	Nu					
1988	87	3500	Souvenir	Drama	Nu					
1991	87	2000	Scenes from a Mall	Comedy	Nu					
1986	87	1500	Cobra	Action	Nu					
1987	87	2000	Mistress	Drama	Nu					
1991	87	2500	To Die Standing	Action	Nu					
1990	87	4500	"All New Tales from the Crypt, A Trilogy"	Horror	Nu					
1972	87	2500	Hannie Caulder	Drama	Nu					
1947	87	2000	Night Is My Future	Drama	Nu					
1936	87	5500	Modern Times	Comedy	Nu					
1931	87	4000	A Nous la Liberte	Drama	Nu					
1975	87	2000	They Came from Within	Horror	Nu					
1991	87	6000	Killer Tomatoes Strike Back	Comedy	Nu					
1979	87	6000	Attack of the Killer Tomatoes	Comedy	Nu					
1955	87	4500	"Ladykillers, The"	Comedy	Nu					
1991	87	1500	Father's Little Dividend	Comedy	Nu					
1992	87	1000	"Law & Jake Wade, The"	Drama	Nu					
1989	88	1000	Final Notice	Mystery	Nu					
1942	88	4000	Lady for a Night	Drama	Nu					
1986	88	3500	Running Out of Luck	Comedy	Nu					
1986	88	4500	Seven Minutes in Heaven	Comedy	Nu					
1988	88	6000	"Blue Iguana, The"	Drama	Nu					
1992	88	4000	Adventures in Dinosaur City	Action	Nu					
1973	88	5500	Sleeper	Comedy	Nu					
1987	88	2000	"Arrogant, The"	Drama	Nu					
1959	88	6000	Carlton-Browne of the F.O.	Comedy	Nu					
1989	88	1000	Women on the Verge of a Nervous Breakdown	Comedy	Nu					
1992	88	5000	Back in the U.S.S.R.	Action	Nu					
1978	88	5000	Silent Movie	Comedy	Nu					
1991	88	3500	Born to Ride	Action	Nu					
1989	88	5500	"Money, The"	Drama	Nu					
1990	88	3500	"Kissing Place, The"	Drama	Nu					
1985	88	2500	Roller Blade	Action	Nu					
1979	88	1500	"Treasure Seekers, The"	Action	Nu					
1989	88	2000	Center of the Web	Mystery	Nu					
1968	88	4000	Hour of the Wolf	Drama	Nu					
1990	88	2000	Amazon	Action	Nu					
1959	88	6000	"Virgin Spring, The"	Drama	Da					
